Genes,PathwayID,PathwayName
ABCB7,"{'R-HSA-382556', 'R-HSA-2564830'}","{'ABC-family proteins mediated transport', 'Cytosolic iron-sulfur cluster assembly'}"
ABCB8,{'R-HSA-382556'},{'ABC-family proteins mediated transport'}
ABCB9,{'R-HSA-382556'},{'ABC-family proteins mediated transport'}
ABCC1,"{'R-HSA-556833', 'R-HSA-9753281', 'R-HSA-2262752', 'R-HSA-196854', 'R-HSA-189445', 'R-HSA-382556'}","{'Cellular responses to stress', 'ABC-family proteins mediated transport', 'Paracetamol ADME', 'Metabolism of vitamins and cofactors', 'Metabolism of lipids', 'Metabolism of porphyrins'}"
ABCC10,{'R-HSA-382556'},{'ABC-family proteins mediated transport'}
ABCC11,{'R-HSA-382556'},{'ABC-family proteins mediated transport'}
ABCC2,"{'R-HSA-9754706', 'R-HSA-5619115', 'R-HSA-9749641', 'R-HSA-9753281', 'R-HSA-189445', 'R-HSA-382556'}","{'ABC-family proteins mediated transport', 'Paracetamol ADME', 'Metabolism of porphyrins', 'Atorvastatin ADME', 'Aspirin ADME', 'Disorders of transmembrane transporters'}"
ABCC3,"{'R-HSA-9749641', 'R-HSA-9753281', 'R-HSA-2262752', 'R-HSA-556833', 'R-HSA-382556'}","{'Cellular responses to stress', 'ABC-family proteins mediated transport', 'Paracetamol ADME', 'Metabolism of lipids', 'Aspirin ADME'}"
ABCC4,"{'R-HSA-9753281', 'R-HSA-9748787', 'R-HSA-76002', 'R-HSA-382556'}","{'Platelet activation, signaling and aggregation', 'ABC-family proteins mediated transport', 'Azathioprine ADME', 'Paracetamol ADME'}"
ABCC5,"{'R-HSA-9753281', 'R-HSA-71387', 'R-HSA-9748787', 'R-HSA-382556'}","{'ABC-family proteins mediated transport', 'Azathioprine ADME', 'Metabolism of carbohydrates', 'Paracetamol ADME'}"
ABCC6,"{'R-HSA-5619115', 'R-HSA-382556'}","{'ABC-family proteins mediated transport', 'Disorders of transmembrane transporters'}"
ABCC8,"{'R-HSA-5619115', 'R-HSA-1296071', 'R-HSA-163685'}","{'Potassium Channels', 'Integration of energy metabolism', 'Disorders of transmembrane transporters'}"
ABCC9,"{'R-HSA-5619115', 'R-HSA-1296071', 'R-HSA-382556', 'R-HSA-5576891'}","{'ABC-family proteins mediated transport', 'Potassium Channels', 'Disorders of transmembrane transporters', 'Cardiac conduction'}"
ABCD1,"{'R-HSA-9603798', 'R-HSA-5619115', 'R-HSA-556833', 'R-HSA-382556'}","{'Metabolism of lipids', 'ABC-family proteins mediated transport', 'Class I peroxisomal membrane protein import', 'Disorders of transmembrane transporters'}"
ABCD2,"{'R-HSA-9603798', 'R-HSA-382556'}","{'ABC-family proteins mediated transport', 'Class I peroxisomal membrane protein import'}"
ABCD3,"{'R-HSA-9603798', 'R-HSA-9716542', 'R-HSA-382556'}","{'ABC-family proteins mediated transport', 'Signaling by Rho GTPases, Miro GTPases and RHOBTB3', 'Class I peroxisomal membrane protein import'}"
ABCD4,"{'R-HSA-5668914', 'R-HSA-5619115', 'R-HSA-196854'}","{'Diseases of metabolism', 'Metabolism of vitamins and cofactors', 'Disorders of transmembrane transporters'}"
ABCE1,{'R-HSA-1280215'},{'Cytokine Signaling in Immune system'}
ABCF1,{'R-HSA-382556'},{'ABC-family proteins mediated transport'}
ABCF2,{'R-HSA-2262752'},{'Cellular responses to stress'}
ABCG1,"{'R-HSA-9006931', 'R-HSA-174824', 'R-HSA-382556'}","{'ABC-family proteins mediated transport', 'Signaling by Nuclear Receptors', 'Plasma lipoprotein assembly, remodeling, and clearance'}"
ABCG2,"{'R-HSA-2161522', 'R-HSA-917937', 'R-HSA-9753281', 'R-HSA-9793528', 'R-HSA-2262752', 'R-HSA-189445', 'R-HSA-556833'}","{'Ciprofloxacin ADME', 'Cellular responses to stress', 'Paracetamol ADME', 'Abacavir ADME', 'Metabolism of lipids', 'Metabolism of porphyrins', 'Iron uptake and transport'}"
ABCG4,{'R-HSA-382556'},{'ABC-family proteins mediated transport'}
ABCG5,"{'R-HSA-9006931', 'R-HSA-5619115', 'R-HSA-382556'}","{'ABC-family proteins mediated transport', 'Signaling by Nuclear Receptors', 'Disorders of transmembrane transporters'}"
ABCG8,"{'R-HSA-9006931', 'R-HSA-5619115', 'R-HSA-382556'}","{'ABC-family proteins mediated transport', 'Signaling by Nuclear Receptors', 'Disorders of transmembrane transporters'}"
ABHD10,{'R-HSA-211859'},{'Biological oxidations'}
ABHD12,"{'R-HSA-372790', 'R-HSA-76002'}","{'Platelet activation, signaling and aggregation', 'Signaling by GPCR'}"
ABHD14B,{'R-HSA-211859'},{'Biological oxidations'}
ABHD17A,{'R-HSA-5683057'},{'MAPK family signaling cascades'}
ABHD17B,{'R-HSA-5683057'},{'MAPK family signaling cascades'}
ABHD17C,{'R-HSA-5683057'},{'MAPK family signaling cascades'}
ABHD3,{'R-HSA-556833'},{'Metabolism of lipids'}
ABHD4,{'R-HSA-556833'},{'Metabolism of lipids'}
ABHD5,{'R-HSA-556833'},{'Metabolism of lipids'}
ABHD6,"{'R-HSA-372790', 'R-HSA-76002'}","{'Platelet activation, signaling and aggregation', 'Signaling by GPCR'}"
ABI1,"{'R-HSA-9006934', 'R-HSA-9716542', 'R-HSA-168249', 'R-HSA-5663205'}","{'Signaling by Receptor Tyrosine Kinases', 'Signaling by Rho GTPases, Miro GTPases and RHOBTB3', 'Innate Immune System', 'Infectious disease'}"
ABI2,"{'R-HSA-9006934', 'R-HSA-9716542', 'R-HSA-168249', 'R-HSA-5663205'}","{'Signaling by Receptor Tyrosine Kinases', 'Signaling by Rho GTPases, Miro GTPases and RHOBTB3', 'Innate Immune System', 'Infectious disease'}"
ABL1,"{'R-HSA-5663205', 'R-HSA-9675108', 'R-HSA-168249', 'R-HSA-983231', 'R-HSA-9716542', 'R-HSA-525793', 'R-HSA-5693532', 'R-HSA-69278', 'R-HSA-73857'}","{'DNA Double-Strand Break Repair', 'Myogenesis', 'Infectious disease', 'Factors involved in megakaryocyte development and platelet production', 'RNA Polymerase II Transcription', 'Nervous system development', 'Signaling by Rho GTPases, Miro GTPases and RHOBTB3', 'Cell Cycle, Mitotic', 'Innate Immune System'}"
ABL2,"{'R-HSA-1280215', 'R-HSA-9675108', 'R-HSA-9716542'}","{'Cytokine Signaling in Immune system', 'Nervous system development', 'Signaling by Rho GTPases, Miro GTPases and RHOBTB3'}"
ABLIM1,{'R-HSA-9675108'},{'Nervous system development'}
ABLIM2,{'R-HSA-9675108'},{'Nervous system development'}
ABLIM3,{'R-HSA-9675108'},{'Nervous system development'}
ABO,{'R-HSA-71387'},{'Metabolism of carbohydrates'}
ABR,"{'R-HSA-372790', 'R-HSA-73887', 'R-HSA-9716542'}","{'Death Receptor Signaling', 'Signaling by GPCR', 'Signaling by Rho GTPases, Miro GTPases and RHOBTB3'}"
ABRAXAS1,"{'R-HSA-69620', 'R-HSA-597592', 'R-HSA-5693532'}","{'Cell Cycle Checkpoints', 'DNA Double-Strand Break Repair', 'Post-translational protein modification'}"
ABRAXAS2,{'R-HSA-597592'},{'Post-translational protein modification'}
ACAA1,"{'R-HSA-9033241', 'R-HSA-556833', 'R-HSA-168249'}","{'Metabolism of lipids', 'Innate Immune System', 'Peroxisomal protein import'}"
ACAA2,{'R-HSA-556833'},{'Metabolism of lipids'}
ACACA,"{'R-HSA-5668914', 'R-HSA-556833', 'R-HSA-196854', 'R-HSA-163685'}","{'Diseases of metabolism', 'Metabolism of lipids', 'Metabolism of vitamins and cofactors', 'Integration of energy metabolism'}"
ACACB,"{'R-HSA-556833', 'R-HSA-196854', 'R-HSA-163685'}","{'Metabolism of vitamins and cofactors', 'Metabolism of lipids', 'Integration of energy metabolism'}"
ACAD10,{'R-HSA-556833'},{'Metabolism of lipids'}
ACAD11,{'R-HSA-556833'},{'Metabolism of lipids'}
ACAD8,{'R-HSA-71291'},{'Metabolism of amino acids and derivatives'}
ACAD9,{'R-HSA-1428517'},{'The citric acid (TCA) cycle and respiratory electron transport'}
ACADL,{'R-HSA-556833'},{'Metabolism of lipids'}
ACADM,{'R-HSA-556833'},{'Metabolism of lipids'}
ACADS,{'R-HSA-556833'},{'Metabolism of lipids'}
ACADSB,{'R-HSA-71291'},{'Metabolism of amino acids and derivatives'}
ACADVL,"{'R-HSA-2262752', 'R-HSA-556833'}","{'Metabolism of lipids', 'Cellular responses to stress'}"
ACAN,"{'R-HSA-1474228', 'R-HSA-5668914', 'R-HSA-3000178', 'R-HSA-71387'}","{'Diseases of metabolism', 'Degradation of the extracellular matrix', 'Metabolism of carbohydrates', 'ECM proteoglycans'}"
ACAT1,"{'R-HSA-556833', 'R-HSA-71291'}","{'Metabolism of lipids', 'Metabolism of amino acids and derivatives'}"
ACAT2,{'R-HSA-556833'},{'Metabolism of lipids'}
ACBD3,{'R-HSA-199991'},{'Membrane Trafficking'}
ACBD4,{'R-HSA-556833'},{'Metabolism of lipids'}
ACBD5,"{'R-HSA-9603798', 'R-HSA-9716542', 'R-HSA-556833'}","{'Metabolism of lipids', 'Signaling by Rho GTPases, Miro GTPases and RHOBTB3', 'Class I peroxisomal membrane protein import'}"
ACBD6,{'R-HSA-556833'},{'Metabolism of lipids'}
ACBD7,{'R-HSA-556833'},{'Metabolism of lipids'}
ACD,"{'R-HSA-2262752', 'R-HSA-1500620', 'R-HSA-73886', 'R-HSA-73884'}","{'Chromosome Maintenance', 'Meiosis', 'Cellular responses to stress', 'Base Excision Repair'}"
ACE,{'R-HSA-2980736'},{'Peptide hormone metabolism'}
ACE2,"{'R-HSA-2980736', 'R-HSA-5663205'}","{'Peptide hormone metabolism', 'Infectious disease'}"
ACER1,{'R-HSA-556833'},{'Metabolism of lipids'}
ACER2,{'R-HSA-556833'},{'Metabolism of lipids'}
ACER3,{'R-HSA-556833'},{'Metabolism of lipids'}
ACHE,"{'R-HSA-2980736', 'R-HSA-112315', 'R-HSA-556833'}","{'Peptide hormone metabolism', 'Metabolism of lipids', 'Transmission across Chemical Synapses'}"
ACIN1,"{'R-HSA-109581', 'R-HSA-72203'}","{'Processing of Capped Intron-Containing Pre-mRNA', 'Apoptosis'}"
ACKR1,{'R-HSA-372790'},{'Signaling by GPCR'}
ACKR2,{'R-HSA-372790'},{'Signaling by GPCR'}
ACKR3,{'R-HSA-372790'},{'Signaling by GPCR'}
ACKR4,{'R-HSA-372790'},{'Signaling by GPCR'}
ACLY,"{'R-HSA-556833', 'R-HSA-168249', 'R-HSA-163685'}","{'Metabolism of lipids', 'Innate Immune System', 'Integration of energy metabolism'}"
ACMSD,{'R-HSA-71291'},{'Metabolism of amino acids and derivatives'}
ACO1,{'R-HSA-917937'},{'Iron uptake and transport'}
ACO2,"{'R-HSA-1268020', 'R-HSA-1428517'}","{'The citric acid (TCA) cycle and respiratory electron transport', 'Mitochondrial protein import'}"
ACOT1,{'R-HSA-556833'},{'Metabolism of lipids'}
ACOT11,{'R-HSA-556833'},{'Metabolism of lipids'}
ACOT12,{'R-HSA-556833'},{'Metabolism of lipids'}
ACOT13,{'R-HSA-556833'},{'Metabolism of lipids'}
ACOT2,"{'R-HSA-9033241', 'R-HSA-556833'}","{'Metabolism of lipids', 'Peroxisomal protein import'}"
ACOT4,"{'R-HSA-9033241', 'R-HSA-556833'}","{'Metabolism of lipids', 'Peroxisomal protein import'}"
ACOT6,{'R-HSA-556833'},{'Metabolism of lipids'}
ACOT7,{'R-HSA-556833'},{'Metabolism of lipids'}
ACOT7L,{'R-HSA-556833'},{'Metabolism of lipids'}
ACOT8,"{'R-HSA-9033241', 'R-HSA-556833'}","{'Metabolism of lipids', 'Peroxisomal protein import'}"
ACOT9,{'R-HSA-556833'},{'Metabolism of lipids'}
ACOX1,{'R-HSA-9033241'},{'Peroxisomal protein import'}
ACOX2,"{'R-HSA-9033241', 'R-HSA-556833'}","{'Metabolism of lipids', 'Peroxisomal protein import'}"
ACOX3,"{'R-HSA-9033241', 'R-HSA-556833'}","{'Metabolism of lipids', 'Peroxisomal protein import'}"
ACOXL,{'R-HSA-556833'},{'Metabolism of lipids'}
ACP3,{'R-HSA-168249'},{'Innate Immune System'}
ACP5,{'R-HSA-196854'},{'Metabolism of vitamins and cofactors'}
ACP6,{'R-HSA-556833'},{'Metabolism of lipids'}
ACR,{'R-HSA-1187000'},{'Fertilization'}
ACSBG1,{'R-HSA-556833'},{'Metabolism of lipids'}
ACSBG2,{'R-HSA-556833'},{'Metabolism of lipids'}
ACSF2,{'R-HSA-556833'},{'Metabolism of lipids'}
ACSF3,{'R-HSA-556833'},{'Metabolism of lipids'}
ACSL1,{'R-HSA-556833'},{'Metabolism of lipids'}
ACSL3,"{'R-HSA-556833', 'R-HSA-163685'}","{'Metabolism of lipids', 'Integration of energy metabolism'}"
ACSL4,"{'R-HSA-556833', 'R-HSA-163685'}","{'Metabolism of lipids', 'Integration of energy metabolism'}"
ACSL5,{'R-HSA-556833'},{'Metabolism of lipids'}
ACSL6,{'R-HSA-556833'},{'Metabolism of lipids'}
ACSM1,{'R-HSA-211859'},{'Biological oxidations'}
ACSM2A,"{'R-HSA-9749641', 'R-HSA-211859'}","{'Biological oxidations', 'Aspirin ADME'}"
ACSM2B,"{'R-HSA-9749641', 'R-HSA-211859'}","{'Biological oxidations', 'Aspirin ADME'}"
ACSM3,{'R-HSA-556833'},{'Metabolism of lipids'}
ACSM4,"{'R-HSA-9749641', 'R-HSA-211859'}","{'Biological oxidations', 'Aspirin ADME'}"
ACSM5,"{'R-HSA-9749641', 'R-HSA-211859'}","{'Biological oxidations', 'Aspirin ADME'}"
ACSM6,{'R-HSA-556833'},{'Metabolism of lipids'}
ACSS1,{'R-HSA-211859'},{'Biological oxidations'}
ACSS2,"{'R-HSA-1592230', 'R-HSA-211859'}","{'Biological oxidations', 'Mitochondrial biogenesis'}"
ACSS3,{'R-HSA-556833'},{'Metabolism of lipids'}
ACTA1,{'R-HSA-390522'},{'Striated Muscle Contraction'}
ACTA2,"{'R-HSA-445355', 'R-HSA-157118'}","{'Smooth Muscle Contraction', 'Signaling by NOTCH'}"
ACTB,"{'R-HSA-5663202', 'R-HSA-391251', 'R-HSA-3247509', 'R-HSA-5663205', 'R-HSA-597592', 'R-HSA-212165', 'R-HSA-9675108', 'R-HSA-9659379', 'R-HSA-168249', 'R-HSA-983231', 'R-HSA-5696398', 'R-HSA-9716542', 'R-HSA-9006934', 'R-HSA-5683057', 'R-HSA-446728', 'R-HSA-199991'}","{'Signaling by Receptor Tyrosine Kinases', 'Cell junction organization', 'Nucleotide Excision Repair', 'MAPK family signaling cascades', 'Membrane Trafficking', 'Infectious disease', 'Protein folding', 'Factors involved in megakaryocyte development and platelet production', 'Post-translational protein modification', 'Nervous system development', 'Signaling by Rho GTPases, Miro GTPases and RHOBTB3', 'Diseases of signal transduction by growth factor receptors and second messengers', 'Sensory processing of sound', 'Epigenetic regulation of gene expression', 'Innate Immune System', 'Chromatin modifying enzymes'}"
ACTC1,"{'R-HSA-9716542', 'R-HSA-390522'}","{'Striated Muscle Contraction', 'Signaling by Rho GTPases, Miro GTPases and RHOBTB3'}"
ACTG1,"{'R-HSA-5663202', 'R-HSA-5663205', 'R-HSA-9659379', 'R-HSA-9675108', 'R-HSA-168249', 'R-HSA-9716542', 'R-HSA-9006934', 'R-HSA-5683057', 'R-HSA-446728', 'R-HSA-199991'}","{'Signaling by Receptor Tyrosine Kinases', 'Cell junction organization', 'MAPK family signaling cascades', 'Membrane Trafficking', 'Infectious disease', 'Nervous system development', 'Signaling by Rho GTPases, Miro GTPases and RHOBTB3', 'Diseases of signal transduction by growth factor receptors and second messengers', 'Innate Immune System', 'Sensory processing of sound'}"
ACTG2,{'R-HSA-445355'},{'Smooth Muscle Contraction'}
ACTL6A,"{'R-HSA-5696398', 'R-HSA-73857', 'R-HSA-3247509', 'R-HSA-597592'}","{'Post-translational protein modification', 'RNA Polymerase II Transcription', 'Nucleotide Excision Repair', 'Chromatin modifying enzymes'}"
ACTL6B,"{'R-HSA-73857', 'R-HSA-3247509'}","{'RNA Polymerase II Transcription', 'Chromatin modifying enzymes'}"
ACTN1,"{'R-HSA-3000171', 'R-HSA-373753', 'R-HSA-9716542', 'R-HSA-76002', 'R-HSA-446728'}","{'Non-integrin membrane-ECM interactions', 'Cell junction organization', 'Nephrin family interactions', 'Platelet activation, signaling and aggregation', 'Signaling by Rho GTPases, Miro GTPases and RHOBTB3'}"
ACTN2,"{'R-HSA-373753', 'R-HSA-112315', 'R-HSA-76002', 'R-HSA-5683057', 'R-HSA-390522'}","{'MAPK family signaling cascades', 'Striated Muscle Contraction', 'Transmission across Chemical Synapses', 'Nephrin family interactions', 'Platelet activation, signaling and aggregation'}"
ACTN3,"{'R-HSA-373753', 'R-HSA-390522'}","{'Striated Muscle Contraction', 'Nephrin family interactions'}"
ACTN4,"{'R-HSA-373753', 'R-HSA-76002'}","{'Platelet activation, signaling and aggregation', 'Nephrin family interactions'}"
ACTR10,"{'R-HSA-1280218', 'R-HSA-597592', 'R-HSA-168249', 'R-HSA-2262752', 'R-HSA-199991'}","{'Cellular responses to stress', 'Membrane Trafficking', 'Post-translational protein modification', 'Innate Immune System', 'Adaptive Immune System'}"
ACTR1A,"{'R-HSA-1280218', 'R-HSA-597592', 'R-HSA-5617833', 'R-HSA-2262752', 'R-HSA-69278', 'R-HSA-199991'}","{'Cellular responses to stress', 'Membrane Trafficking', 'Post-translational protein modification', 'Cell Cycle, Mitotic', 'Adaptive Immune System', 'Cilium Assembly'}"
ACTR1B,"{'R-HSA-1280218', 'R-HSA-168249'}","{'Adaptive Immune System', 'Innate Immune System'}"
ACTR2,"{'R-HSA-5663205', 'R-HSA-9675108', 'R-HSA-168249', 'R-HSA-9716542', 'R-HSA-199991'}","{'Membrane Trafficking', 'Infectious disease', 'Nervous system development', 'Signaling by Rho GTPases, Miro GTPases and RHOBTB3', 'Innate Immune System'}"
ACTR3,"{'R-HSA-5663205', 'R-HSA-9675108', 'R-HSA-168249', 'R-HSA-9716542', 'R-HSA-199991'}","{'Membrane Trafficking', 'Infectious disease', 'Nervous system development', 'Signaling by Rho GTPases, Miro GTPases and RHOBTB3', 'Innate Immune System'}"
ACTR5,"{'R-HSA-5696398', 'R-HSA-597592'}","{'Post-translational protein modification', 'Nucleotide Excision Repair'}"
ACTR8,"{'R-HSA-5696398', 'R-HSA-597592'}","{'Post-translational protein modification', 'Nucleotide Excision Repair'}"
ACVR1B,"{'R-HSA-9006936', 'R-HSA-1181150'}","{'Signaling by NODAL', 'Signaling by TGFB family members'}"
ACVR1C,"{'R-HSA-9006936', 'R-HSA-1181150'}","{'Signaling by NODAL', 'Signaling by TGFB family members'}"
ACVR2A,"{'R-HSA-9006936', 'R-HSA-1181150'}","{'Signaling by NODAL', 'Signaling by TGFB family members'}"
ACVR2B,"{'R-HSA-9006936', 'R-HSA-1181150'}","{'Signaling by NODAL', 'Signaling by TGFB family members'}"
ACVRL1,{'R-HSA-9006936'},{'Signaling by TGFB family members'}
ACY1,"{'R-HSA-9753281', 'R-HSA-5668914', 'R-HSA-211859'}","{'Diseases of metabolism', 'Biological oxidations', 'Paracetamol ADME'}"
ACY3,{'R-HSA-211859'},{'Biological oxidations'}
ADA,"{'R-HSA-5668914', 'R-HSA-15869', 'R-HSA-9755088'}","{'Diseases of metabolism', 'Ribavirin ADME', 'Metabolism of nucleotides'}"
ADA2,"{'R-HSA-168249', 'R-HSA-5683826'}","{'Innate Immune System', 'Surfactant metabolism'}"
ADAL,"{'R-HSA-2161522', 'R-HSA-15869'}","{'Metabolism of nucleotides', 'Abacavir ADME'}"
ADAM10,"{'R-HSA-5663202', 'R-HSA-597592', 'R-HSA-1474228', 'R-HSA-9675108', 'R-HSA-168249', 'R-HSA-381426', 'R-HSA-977225', 'R-HSA-157118', 'R-HSA-9006934'}","{'Signaling by Receptor Tyrosine Kinases', 'Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)', 'Amyloid fiber formation', 'Post-translational protein modification', 'Degradation of the extracellular matrix', 'Nervous system development', 'Signaling by NOTCH', 'Diseases of signal transduction by growth factor receptors and second messengers', 'Innate Immune System'}"
ADAM11,{'R-HSA-5682910'},{'LGI-ADAM interactions'}
ADAM12,"{'R-HSA-8941237', 'R-HSA-9006934'}","{'Signaling by Receptor Tyrosine Kinases', 'Invadopodia formation'}"
ADAM15,"{'R-HSA-1474228', 'R-HSA-8941237'}","{'Degradation of the extracellular matrix', 'Invadopodia formation'}"
ADAM17,"{'R-HSA-5663202', 'R-HSA-5663205', 'R-HSA-1474228', 'R-HSA-1280215', 'R-HSA-73887', 'R-HSA-5358351', 'R-HSA-9006934', 'R-HSA-157118'}","{'Signaling by Hedgehog', 'Infectious disease', 'Degradation of the extracellular matrix', 'Signaling by NOTCH', 'Diseases of signal transduction by growth factor receptors and second messengers', 'Death Receptor Signaling', 'Cytokine Signaling in Immune system', 'Signaling by Receptor Tyrosine Kinases'}"
ADAM19,"{'R-HSA-8941237', 'R-HSA-446728'}","{'Cell junction organization', 'Invadopodia formation'}"
ADAM2,{'R-HSA-1187000'},{'Fertilization'}
ADAM20,{'R-HSA-1187000'},{'Fertilization'}
ADAM21,{'R-HSA-1187000'},{'Fertilization'}
ADAM22,{'R-HSA-5682910'},{'LGI-ADAM interactions'}
ADAM23,{'R-HSA-5682910'},{'LGI-ADAM interactions'}
ADAM30,{'R-HSA-1187000'},{'Fertilization'}
ADAM33,{'R-HSA-446728'},{'Cell junction organization'}
ADAM8,"{'R-HSA-1474228', 'R-HSA-168249'}","{'Degradation of the extracellular matrix', 'Innate Immune System'}"
ADAM9,{'R-HSA-1474228'},{'Degradation of the extracellular matrix'}
ADAMTS1,"{'R-HSA-1474228', 'R-HSA-5668914', 'R-HSA-597592'}","{'Diseases of metabolism', 'Post-translational protein modification', 'Degradation of the extracellular matrix'}"
ADAMTS10,"{'R-HSA-5668914', 'R-HSA-597592'}","{'Diseases of metabolism', 'Post-translational protein modification'}"
ADAMTS12,"{'R-HSA-5668914', 'R-HSA-597592'}","{'Diseases of metabolism', 'Post-translational protein modification'}"
ADAMTS13,"{'R-HSA-9671793', 'R-HSA-5668914', 'R-HSA-597592', 'R-HSA-75892'}","{'Diseases of metabolism', 'Diseases of hemostasis', 'Post-translational protein modification', 'Platelet Adhesion to exposed collagen'}"
ADAMTS14,"{'R-HSA-1474290', 'R-HSA-5668914', 'R-HSA-597592'}","{'Collagen formation', 'Diseases of metabolism', 'Post-translational protein modification'}"
